instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions totalcoefs avgcoefs maxcoefs
katsuranh4 classical 7 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 28 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicn4 classical 24 random 0.06 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 22 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 25 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 8 perturbation 0.09 0.06 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 23 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 26 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 9 perturbation 0.09 0.06 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 24 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 27 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 29 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh4 classical 25 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 10 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 28 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 26 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 29 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn5 classical 11 perturbation 0.99 0.25 0.22 0.05 0.65 23 295 8 124 83 2035 88.00 237
katsuranh4 classical 11 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 0 static 0.02 0.00 0.00 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 27 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 12 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 0 caboara-perry 0.11 0.08 0.06 0.00 0.01 5 21 5 8 3 10 2.00 2
cyclicnh4 classical 28 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 13 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 29 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 0 perturbation 0.08 0.06 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 1 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 14 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 2 perturbation 0.07 0.05 0.05 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 0 random 0.50 0.19 0.15 0.03 0.24 20 281 10 58 31 141 7.00 35
katsuranh4 classical 15 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 3 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 16 perturbation 0.09 0.06 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 4 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 17 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 5 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 18 perturbation 0.09 0.06 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 6 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 19 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 7 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 1 random 0.43 0.19 0.14 0.02 0.19 22 318 13 62 36 130 5.00 30
katsuranh4 classical 8 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 20 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 9 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 21 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn5 classical 12 perturbation 0.99 0.24 0.22 0.05 0.65 23 295 8 124 83 2035 88.00 237
cyclicn5 classical 0 static 0.79 0.00 0.00 0.05 0.70 23 295 8 124 83 2035 88.00 237
katsuranh4 classical 10 random 0.08 0.06 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 22 perturbation 0.10 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 11 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 23 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 12 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 24 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 13 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 2 random 0.50 0.36 0.09 0.02 0.10 13 175 8 39 18 46 3.00 8
katsuranh4 classical 25 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 14 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 15 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 26 perturbation 0.09 0.06 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh6 classical 25 perturbation 1.87 0.60 0.50 0.05 1.16 34 1540 9 101 66 229 6.00 18
katsuranh4 classical 16 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 27 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
katsuranh4 classical 17 random 0.08 0.05 0.04 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh5 classical 3 random 0.26 0.12 0.09 0.02 0.11 16 238 10 44 24 62 3.00 11
